% Model,CFxSimEIS.mph
% Version,COMSOL 5.6.0.401
% Date,"Nov 8 2021, 13:49"
% Table,Table 3 - Global Evaluation 1
% sigma_CFx (S/m),i0_an (A/m^2),freq (Hz),Z (Ω*m^2)
0.2,20,100,0.01276670328283575+2.2092415344053068E-4i
0.2,20,177.82794100389228,0.012693566496907885+3.6800828719844614E-4i
0.2,20,316.22776601683796,0.012508861682337101+5.54400376328856E-4i
0.2,20,562.341325190349,0.012172904357831369+6.674366359325389E-4i
0.2,20,1000,0.011816436052262739+5.875835168521917E-4i
0.2,20,1778.2794100389228,0.011601425498141882+4.0241973933008353E-4i
0.2,20,3162.2776601683795,0.011512477772197995+2.4304646558130115E-4i
0.2,20,5623.413251903491,0.011481542867780687+1.3995081240310232E-4i
0.2,20,10000,0.011471449300015469+7.930117137942357E-5i
0.2,20,17782.794100389227,0.011468225259317826+4.4702047760600535E-5i
0.2,20,31622.776601683792,0.011467202473460846+2.5157118030136222E-5i
0.2,20,56234.13251903491,0.011466878718600337+1.4148801772497521E-5i
0.2,20,100000,0.011466776299409717+7.957891762564387E-6i
0.2,20,177827.94100389228,0.011466743912630391+4.472739966186341E-6i
0.2,20,316227.7660168379,0.011466733670719927+2.510848189322574E-6i
0.2,20,562341.3251903491,0.011466730428567384+1.4130413139935897E-6i
0.2,20,1000000,0.011466604823864364+7.891984619698338E-7i
0.2,100,0.001,0.013621778028515566+0.0017923054747183093i
0.2,100,0.0017782794100389228,0.013160638075433662+0.001364482360013227i
0.2,100,0.0031622776601683794,0.012802515795571578+0.0010388632981655674i
0.2,100,0.005623413251903491,0.012532158709739318+7.825193758403035E-4i
0.2,100,0.01,0.012334257925368393+5.861799178077233E-4i
0.2,100,0.01778279410038923,0.012188097861361687+4.4025040097828854E-4i
0.2,100,0.03162277660168379,0.012078059552043385+3.323120895062922E-4i
0.2,100,0.05623413251903491,0.011994495564830713+2.524700426010114E-4i
0.2,100,0.1,0.011929888991977432+1.935778794384486E-4i
0.2,100,0.1778279410038923,0.01187888455286709+1.4917843603876304E-4i
0.2,100,0.31622776601683794,0.011838854512703462+1.1433746943582462E-4i
0.2,100,0.5623413251903491,0.01180870640029014+8.655523875061863E-5i
0.2,100,1,0.011786662604514268+6.546144522252705E-5i
0.2,100,1.7782794100389228,0.011769729807117036+4.997028817585031E-5i
0.2,100,3.1622776601683795,0.011756162065729216+3.78094265367976E-5i
0.2,100,5.623413251903491,0.011745992358231594+2.723001475906373E-5i
0.2,100,10,0.011739886986199325+1.837359113824101E-5i
0.2,100,17.78279410038923,0.011736988930106234+1.2398084772410793E-5i
0.2,100,31.622776601683793,0.011735663634101272+9.446242385436868E-6i
0.2,100,56.23413251903491,0.011734898618627589+9.151052056147959E-6i
0.2,100,100,0.01173422729965818+1.1554180045956991E-5i
0.2,100,177.82794100389228,0.011733255967889685+1.7517515338020092E-5i
0.2,100,316.22776601683796,0.011731042855351505+2.9029178448756297E-5i
0.2,100,562.341325190349,0.011724743110613734+4.9283116405863636E-5i
0.2,100,1000,0.011706835018609104+8.095523661249219E-5i
0.2,100,1778.2794100389228,0.011663662682871088+1.1779530947458481E-4i
0.2,100,3162.2776601683795,0.011592282562385257+1.3344683146448985E-4i
0.2,100,5623.413251903491,0.01152522999753429+1.1054486304717732E-4i
0.2,100,10000,0.011488486013777336+7.310423524480544E-5i
0.2,100,17782.794100389227,0.011474014813343954+4.353245327422709E-5i
0.2,100,31622.776601683792,0.011469076706055063+2.494500113712379E-5i
0.2,100,56234.13251903491,0.01146747584867146+1.4112760264810008E-5i
0.2,100,100000,0.011466965579693976+7.95079787975275E-6i
0.2,100,177827.94100389228,0.011466803812550361+4.471746757803043E-6i
0.2,100,316227.7660168379,0.011466752613397982+2.5173290365675556E-6i
0.2,100,562341.3251903491,0.011466725650804224+1.4144385044923977E-6i
0.2,100,1000000,0.011466728421938712+8.031633047550376E-7i
2,10,0.001,0.008147164164718333+0.002427624564069915i
2,10,0.0017782794100389228,0.007532585907263038+0.0018255454263349535i
2,10,0.0031622776601683794,0.0070723585069727415+0.0013718151519971583i
2,10,0.005623413251903491,0.006727285359525518+0.0010299305914937924i
2,10,0.01,0.0064691183526186585+7.731697011403322E-4i
2,10,0.01778279410038923,0.00627555322303771+5.811024750039377E-4i
2,10,0.03162277660168379,0.006129850717154284+4.3760727611654083E-4i
2,10,0.05623413251903491,0.006019854039333783+3.304388146897595E-4i
2,10,0.1,0.005936497397203146+2.5053557174344E-4i
2,10,0.1778279410038923,0.005873029342481403+1.9108156940540353E-4i
2,10,0.31622776601683794,0.005824609637458402+1.470985354151436E-4i
2,10,0.5623413251903491,0.005787804112518473+1.154367104162349E-4i
2,10,1,0.0057595692621507785+9.473451410282573E-5i
2,10,1.7782794100389228,0.005736479878785521+8.415553337930806E-5i
2,10,3.1622776601683795,0.005716386281510604+8.281219794009234E-5i
2,10,5.623413251903491,0.005699105140389465+9.225565594446066E-5i
2,10,10,0.005685133164976845+1.1904514311615555E-4i
2,10,17.78279410038923,0.005672161395094582+1.7784159221674727E-4i
2,10,31.622776601683793,0.0056489814159064716+2.9213586251980195E-4i
2,10,56.23413251903491,0.005585432592188803+4.943063091595923E-4i
2,10,100,0.00540583841910259+8.10770742220292E-4i
2,10,177.82794100389228,0.004973683890005595+0.0011788354433469586i
2,10,316.22776601683796,0.004259668037966743+0.001334987146698902i
2,10,562.341325190349,0.0035890970334382616+0.001105720414992835i
2,10,1000,0.0032216587787388742+7.311857688482921E-4i
2,10,1778.2794100389228,0.003076950608807034+4.354033581486326E-4i
2,10,3162.2776601683795,0.003027571192160633+2.4949432245662944E-4i
2,10,5623.413251903491,0.003011563203755315+1.4114849327252687E-4i
2,10,10000,0.003006460683388936+7.952554282548088E-5i
2,10,17782.794100389227,0.003004843055345976+4.474756995822451E-5i
2,10,31622.776601683792,0.0030043311077374473+2.5168236711665677E-5i
2,10,56234.13251903491,0.0030041691758320023+1.4153925060917485E-5i
2,10,100000,0.0030041179627523515+7.959621143712651E-6i
2,10,177827.94100389228,0.003004101768794637+4.475885344688301E-6i
2,10,316227.7660168379,0.003004096647378053+2.5168904700920152E-6i
2,10,562341.3251903491,0.0030040950282629497+1.414778947028972E-6i
2,10,1000000,0.0030040945156177188+7.955562590185235E-7i
2,20,0.001,0.006810831786910093+0.002427617620523883i
2,20,0.0017782794100389228,0.006196253583700696+0.0018255331450503125i
2,20,0.0031622776601683794,0.005736026256306471+0.0013717934076482427i
2,20,0.005623413251903491,0.005390953202797678+0.0010298920497461442i
2,20,0.01,0.005132786327645977+7.731013217294355E-4i
2,20,0.01778279410038923,0.00493922140901502+5.809810911481212E-4i
2,20,0.03162277660168379,0.004793519269002477+4.373917449953276E-4i
2,20,0.05623413251903491,0.004683523262270178+3.300560652513601E-4i
2,20,0.1,0.00460016792153683+2.4985585406954295E-4i
2,20,0.1778279410038923,0.0045367024687263426+1.8987455114063625E-4i
2,20,0.31622776601683794,0.004488288046338082+1.4495534364264228E-4i
2,20,0.5623413251903491,0.004451493632326745+1.116312702769788E-4i
2,20,1,0.004423284346956326+8.797665540693069E-5i
2,20,1.7782794100389228,0.004400261556259168+7.215171284097456E-5i
2,20,3.1622776601683795,0.004380359758449173+6.148515291559512E-5i
2,20,5.623413251903491,0.004363662750405989+5.436210743635761E-5i
2,20,10,0.004351511422758113+5.1749260174313316E-5i
2,20,17.78279410038923,0.004344245205550354+5.8568151526496305E-5i
2,20,31.622776601683793,0.004338859179036493+8.210864948971455E-5i
2,20,56.23413251903491,0.004329569252954233+1.319045029637477E-4i
2,20,100,0.004304072775751023+2.223681021901154E-4i
2,20,177.82794100389228,0.004230920500689786+3.688012540611436E-4i
2,20,316.22776601683796,0.004046220784451897+5.5483919219692E-4i
2,20,562.341325190349,0.0037102674065785093+6.67681660300862E-4i
2,20,1000,0.003353800654046721+5.877209810274078E-4i
2,20,1778.2794100389228,0.0031387906121006486+4.0249697153364505E-4i
2,20,3162.2776601683795,0.003049843044907118+2.4308991912492508E-4i
2,20,5623.413251903491,0.0030189081918416596+1.3997525627342514E-4i
2,20,10000,0.0030088146415928997+7.931490187335531E-5i
2,20,17782.794100389227,0.003005590603442403+4.471001130849599E-5i
2,20,31622.776601683792,0.003004567820590719+2.5161551282285323E-5i
2,20,56234.13251903491,0.0030042440627207623+1.4152737691519438E-5i
2,20,100000,0.003004141648345868+7.95924076961699E-6i
2,20,177827.94100389228,0.0030041092585455014+4.475922191483178E-6i
2,20,316227.7660168379,0.0030040990157374193+2.516983940213879E-6i
2,20,562341.3251903491,0.0030040957765262843+1.4154496958189392E-6i
2,20,1000000,0.0030040947523689615+7.95705246275897E-7i
2,100,0.001,0.005741765884641597+0.002427615297160383i
2,100,0.0017782794100389228,0.005127187724788561+0.001825529066493777i
2,100,0.0031622776601683794,0.004666960455603851+0.0013717862310074454i
2,100,0.005623413251903491,0.004321887476847782+0.0010298793882840647i
2,100,0.01,0.004063720705893667+7.730789329807524E-4i
2,100,0.01778279410038923,0.0038701559522462824+5.809414487724188E-4i
2,100,0.03162277660168379,0.0037244540929066722+4.373215083732459E-4i
2,100,0.05623413251903491,0.0036144585851315175+3.299315849143372E-4i
2,100,0.1,0.003531104165793471+2.4963522715076055E-4i
2,100,0.1778279410038923,0.0034676404163557673+1.8948358143529157E-4i
2,100,0.31622776601683794,0.0034192290260329334+1.4426266526219926E-4i
2,100,0.5623413251903491,0.0033824397302147933+1.1040408168124417E-4i
2,100,1,0.0033542389878834337+8.580172709903877E-5i
2,100,1.7782794100389228,0.0033312318478637888+6.829460613658085E-5i
2,100,3.1622776601683795,0.003311364603197241+5.463982804296999E-5i
2,100,5.623413251903491,0.003294759252039323+4.2206071670716625E-5i
2,100,10,0.0032828784081505545+3.0155969625237904E-5i
2,100,17.78279410038923,0.003276442428220216+2.0219549696459657E-5i
2,100,31.622776601683793,0.003273638667452453+1.408910053810489E-5i
2,100,56.23413251903491,0.0032723911615799178+1.1768703493677556E-5i
2,100,100,0.0032715967880658637+1.2998114560363007E-5i
2,100,177.82794100389228,0.003270610006920698+1.831049181298187E-5i
2,100,316.22776601683796,0.003268401942542297+2.946804531594646E-5i
2,100,562.341325190349,0.0032621061088918824+4.9528145265702344E-5i
2,100,1000,0.0032441995933790465+8.109269206967459E-5i
2,100,1778.2794100389228,0.0032010277927419797+1.1787253609634817E-4i
2,100,3162.2776601683795,0.003129647840758215+1.334902465973002E-4i
2,100,5623.413251903491,0.0030625953253564904+1.1056928430203538E-4i
2,100,10000,0.003025851356106437+7.31179582244779E-5i
2,100,17782.794100389227,0.003011380159413662+4.354021620232639E-5i
2,100,31622.776601683792,0.0030064420539063436+2.4949397959637515E-5i
2,100,56234.13251903491,0.0030048411986750055+1.4114792599792338E-5i
2,100,100000,0.0030043309274646454+7.952572244688995E-6i
2,100,177827.94100389228,0.003004169159231858+4.47467876241112E-6i
2,100,316227.7660168379,0.003004117962329561+2.516818488499151E-6i
2,100,562341.3251903491,0.003004101768843999+1.4150193560791649E-6i
2,100,1000000,0.0030040966472469712+7.956879385063322E-7i
20,10,0.001,0.007013560270483291+0.0025879709268663838i
20,10,0.0017782794100389228,0.006362467507111378+0.0019421774939946481i
20,10,0.0031622776601683794,0.005875716592998038+0.001456775663515356i
20,10,0.005623413251903491,0.005511213978018785+0.0010931527570801744i
20,10,0.01,0.005237592529047501+8.208947367405336E-4i
20,10,0.01778279410038923,0.005031990184076535+6.170594418048929E-4i
20,10,0.03162277660168379,0.004877249094329136+4.6461247241477385E-4i
20,10,0.05623413251903491,0.004760476735886442+3.5073478635112696E-4i
